username,word_segment,punctuation_segment,numeric_segment,reverse,slangify,merge
halohalo,halo,halohalo,,olaholah,,halo olaholah halohalo
Givemelime,"me,lime,give",givemelime,,emilemevig,,givemelime  emilemevig lime give me
jeffjc1,jeffjc1,jeffjc1,"jc,jeff,1",cjffej,"jct,jeffjci,jcl,jeff,jeffjct,jeffjcl,jci",jct cjffej jeffjci 1 jeffjc1 jc jeff jcl jeffjct jeffjcl jci
rock4life7615,rock4life7615,rock4life7615,"life,rock4,7615",efil4kcor,"life,rockalife,rockrlife,rock,a,r",life rockalife efil4kcor rockrlife rock4life7615 rock4 rock a 7615 r
anglelord01,"angle,lord01",anglelord01,"angle,01,lord",drolelgna,,lord01 drolelgna lord anglelord01 01 angle
r3d j3ll0,r3dj3ll0,"r3d,j3ll0","r3dj3ll,0",ll3j d3r,"llo,jello,red,rsd jsllo,red jello,djs,rs",0 r3dj3ll0 r3d jello r3dj3ll red rsd jsllo red jello j3ll0 llo rs djs ll3j d3r
Msixteen,"sixteen,m",msixteen,,neetxism,,sixteen  m neetxism msixteen
pierced05,"05,pierced",pierced05,"05,pierced",decreip,,pierced05 decreip pierced 05
insomaniacal,"maniacal,so,in",insomaniacal,,lacainamosni,,lacainamosni insomaniacal so in maniacal
damiensfear,"s,damien,fear",damiensfear,,raefsneimad,,damiensfear s raefsneimad fear damien
crowoy,"crow,oy",crowoy,,yoworc,,yoworc crow oy crowoy
Georfsaa,"fsaa,geor",georfsaa,,aasfroeg,,georfsaa fsaa aasfroeg geor
MourKoC,"koc,m,our",mourkoc,,cokruom,,koc m mourkoc cokruom our
chimpudu,"chimp,udu",chimpudu,,udupmihc,,chimpudu udu udupmihc chimp
pix_IXIL_pax,"pix,ix,il,pax","pix,pax,ixil",,xap_lixi_xip,,il ixil ix xap_lixi_xip pix pax
nwinger,"n,winger",nwinger,,regniwn,,regniwn n nwinger winger
bware303,bware303,bware303,"303,bw,are",erawb,,erawb are bware303 303 bw
AgentSmithers,"smithers,agent",agentsmithers,,srehtimstnega,,agentsmithers smithers agent srehtimstnega
Davil2hack,davil2hack,davil2hack,,kcah2livad,"lz,hack,davi,davilzhack",davi kcah2livad hack davilzhack lz davil2hack
fleskarn,"karn,fles",fleskarn,,nrakself,,fleskarn  nrakself fles karn
1337hAcKs,1337hacks,1337hacks,"hacks,1337",skcah,,1337 skcah 1337hacks hacks
jbur6523,jbur6523,jbur6523,"j,bur,6523",rubj,,jbur6523 rubj j bur 6523
ice1532,ice1532,ice1532,"1532,ice",eci,,ice 1532 ice1532 eci
strictlysx23,"strictly,sx23",strictlysx23,"strictly,sx,23",xsyltcirts,,strictly 23 strictlysx23 xsyltcirts sx sx23
hottie101,"hottie,101",hottie101,"hottie,101",eittoh,,hottie101 hottie eittoh 101
dmelanson24,dmelanson24,dmelanson24,"24,melanson,d",nosnalemd,,melanson dmelanson24 d 24 nosnalemd
baileybombshell,"bombshell,bailey",baileybombshell,,llehsbmobyeliab,,bombshell  baileybombshell llehsbmobyeliab bailey
SufferingHunter,"hunter,suffering",sufferinghunter,,retnuhgnireffus,,suffering retnuhgnireffus sufferinghunter hunter
LearNtoLearN,"learn,to",learntolearn,,nraelotnrael,,nraelotnrael to learntolearn learn
ragethecorp,"rage,corp,the",ragethecorp,,procehtegar,,the ragethecorp rage corp procehtegar
bboy bee,"bee,bboy","bee,bboy",,eeb yobb,,bee  eeb yobb bboy
carthaginiaN,carthaginian,carthaginian,,nainigahtrac,,nainigahtrac carthaginian
brandonmxb,"brandon,mxb",brandonmxb,,bxmnodnarb,,brandon  bxmnodnarb brandonmxb mxb
Jactus,"us,act,j",jactus,,sutcaj,,us  jactus act sutcaj j
looksthatmatter2007,"that,matter,looks,2007",looksthatmatter2007,"that,matter,looks,2007",rettamtahtskool,,rettamtahtskool matter looksthatmatter2007 looks that 2007
nex0r,nex0r,nex0r,,r0xen,"nexor,or,nex",nexor r0xen nex or nex0r
ImJake,"jake,im",imjake,,ekajmi,,ekajmi imjake im jake
Sakon_,sakon,",sakon",,_nokas,,sakon _nokas
Blue_Devil,"blue,devil","blue,devil",,lived_eulb,,blue devil lived_eulb
LeivA,leiva,leiva,,aviel,,aviel leiva
B1u3Be4r,b1u3be4r,b1u3be4r,,r4eb3u1b,"us,bluebear,btus,btusbear,btusberr,btuebear,bi,biusbear,berr,blueberr,tue,blusbear,bear,blus,usb,blue,biue,err,biuebear,biueberr,biusberr,btueberr,blusberr,b",us bluebear btus btusbear btusberr btuebear bi biusbear berr blueberr r4eb3u1b tue blusbear bear b1u3be4r blus usb blue biue err biuebear biueberr biusberr btueberr blusberr b
MayAMD,"amd,may",mayamd,,dmayam,,amd dmayam mayamd may
xpvtlag,"lag,x,pvt",xpvtlag,,galtvpx,,lag x pvt xpvtlag galtvpx
r-ID,rid,"id,r",,di-r,,di-r id rid r
xX_DoT_Xx,"xx,dot","xx,dot",,xx_tod_xx,,xx  xx_tod_xx dot
lilrodie,"ie,lil,rod",lilrodie,,eidorlil,,ie lil lilrodie eidorlil rod
wellsc,"well,sc",wellsc,,csllew,,sc csllew wellsc well
Hello World,helloworld,"hello,world",,dlrow olleh,,dlrow olleh helloworld hello world
Plastique,plastique,plastique,,euqitsalp,,euqitsalp plastique
odie2630463,odie2630463,odie2630463,"2630463,odie",eido,,odie eido 2630463 odie2630463
Dynamis,dynamis,dynamis,,simanyd,,simanyd dynamis
ravanova,"rava,nova",ravanova,,avonavar,,nova ravanova avonavar rava
funkygarzon,"funky,garzon",funkygarzon,,nozragyknuf,,funkygarzon nozragyknuf garzon funky
Balawal1balawal2,balawal1balawal2,balawal1balawal2,"balawal1balawal,2",lawalab1lawalab,"walt,walz,bala,balawalibalawalz,balawallbalawalz,balawaltbalawalz,wali,wall",walt 2 walz bala balawalibalawalz balawallbalawalz balawaltbalawalz wali balawal1balawal2 wall balawal1balawal lawalab1lawalab
Qubit,qubit,qubit,,tibuq,,qubit  tibuq
QuantumCaffeine,"caffeine,quantum",quantumcaffeine,,enieffacmutnauq,,enieffacmutnauq quantum quantumcaffeine caffeine
Royek,"roy,ek",royek,,keyor,,royek keyor ek roy
themselves,themselves,themselves,,sevlesmeht,,sevlesmeht themselves
NETWORKsecurity,"security,network",networksecurity,,ytiruceskrowten,,ytiruceskrowten network networksecurity security
N105173,n105173,n105173,"n,105173",n,,n  n105173 105173
pwned123,pwned123,pwned123,"pwned,123",denwp,,123 pwned denwp pwned123
Iblist,iblist,iblist,,tsilbi,,iblist tsilbi
smithboss,"boss,smith",smithboss,,ssobhtims,,smith ssobhtims boss smithboss
JakeieBoy,"ie,jake,boy",jakeieboy,,yobeiekaj,,yobeiekaj ie boy jake jakeieboy
M87,m87,m87,"m,87",m,,m 87 m87
TygerFang,"fang,tyger",tygerfang,,gnafregyt,,gnafregyt tygerfang fang tyger
raiden654,raiden654,raiden654,"654,raiden",nediar,,raiden654 raiden 654 nediar
CQB5,cqb5,cqb5,"cqb,5",bqc,"qbs,cqbs,c",cqb c 5 qbs bqc cqbs cqb5
BaconBitz,"bitz,bacon",baconbitz,,ztibnocab,,bitz ztibnocab baconbitz bacon
tw1tchy,tw1tchy,tw1tchy,,yhct1wt,"twl,twttchy,t,wttc,hy,y,twitchy,twltchy,tch",twl yhct1wt twttchy t wttc hy y twitchy tch twltchy tw1tchy
eMpTy89,"empty,89",empty89,"89,empty",ytpme,,empty89 ytpme empty 89
aidden93,aidden93,aidden93,"93,aid,den",neddia,,neddia  den aid 93 aidden93
arunondeck,"run,deck,a,on",arunondeck,,kcednonura,,deck kcednonura on a run arunondeck
dave21a6,dave21a6,dave21a6,"dave21a,6",a12evad,"davezla6,davezta6,davezia6",a12evad 6 davezla6 davezta6 dave21a6 davezia6 dave21a
megh16,megh16,megh16,"me,16,gh",hgem,,hgem gh megh16 16 me
jack7h3r1pp3r,jack7h3r1pp3r,jack7h3r1pp3r,,r3pp1r3h7kcaj,"jack7heripper,ripper,jack7herlpper,jack7hsrtppsr,jack7hsrlppsr,jack7hertpper,jack7hsrippsr,jack7he",jack7heripper ripper jack7herlpper jack7hsrtppsr jack7h3r1pp3r jack7hsrlppsr jack7hertpper jack7hsrippsr jack7he r3pp1r3h7kcaj
kvest123,kvest123,kvest123,"vest,k,123",tsevk,,123 k vest tsevk kvest123
beep,beep,beep,,peeb,,peeb beep
Darkhex,"hex,dark",darkhex,,xehkrad,,hex dark darkhex xehkrad
bojazz,"jazz,bo",bojazz,,zzajob,,jazz zzajob bo bojazz
testb0t,"test,b0t",testb0t,,t0btset,"bot,test,testbot",t0btset testbot test b0t bot testb0t
ChippZanuff,"chip,pza,nuff",chippzanuff,,ffunazppihc,,chip chippzanuff pza ffunazppihc nuff
alopezhigh,"a,lopez,high",alopezhigh,,hgihzepola,,hgihzepola a high alopezhigh lopez
styloverte116,styloverte116,styloverte116,"116,verte,stylo",etrevolyts,,verte etrevolyts stylo styloverte116 116
idrinktea,"drink,tea,i",idrinktea,,aetknirdi,,i tea drink idrinktea aetknirdi
rockstrcrash,"crash,rock,str",rockstrcrash,,hsarcrtskcor,,crash str hsarcrtskcor rock rockstrcrash
be_curry,"be,curry","be,curry",,yrruc_eb,,be  yrruc_eb curry
L0DER,l0der,l0der,,red0l,loder,loder red0l l0der
punkrawker,"ker,raw,punk",punkrawker,,rekwarknup,,ker punk punkrawker rekwarknup raw
Timeghost,"ghost,time",timeghost,,tsohgemit,,ghost timeghost time tsohgemit
BoNe_D,boned,"bone,d",,d_enob,,bone d d_enob boned
Campo,campo,campo,,opmac,,campo opmac
ALF_,alf,",alf",,_fla,,alf _fla
MultiplyByZer0,"multiply,by,zer0",multiplybyzer0,"multiply,zer,0,by",rezybylpitlum,"multiply,zero,multiplybyzero,by",multiply zer 0 multiplybyzero multiplybyzer0 rezybylpitlum by zero zer0
Slipher,"slip,her",slipher,,rehpils,,her rehpils slip slipher
imcrafty,"crafty,im",imcrafty,,ytfarcmi,,crafty  imcrafty im ytfarcmi
luckily,luckily,luckily,,ylikcul,,ylikcul luckily
the_pilgrim,"the,pilgrim","the,pilgrim",,mirglip_eht,,the  pilgrim mirglip_eht
kodai,kodai,kodai,,iadok,,iadok kodai
xkyzaa,"za,a,x,ky",xkyzaa,,aazykx,,za x aazykx ky xkyzaa a
rebooterblue,"blue,reboot,er",rebooterblue,,eulbretoober,,rebooterblue eulbretoober er blue reboot
Coltragon,"colt,ragon",coltragon,,nogartloc,,colt nogartloc coltragon ragon
youwin,"you,win",youwin,,niwuoy,,youwin you win niwuoy
hackjohnny,"hack,johnny",hackjohnny,,ynnhojkcah,,johnny hack hackjohnny ynnhojkcah
leonidas_heaven,"heaven,leonidas","heaven,leonidas",,nevaeh_sadinoel,,leonidas nevaeh_sadinoel heaven
Blanchwood,"wood,blanch",blanchwood,,doowhcnalb,,doowhcnalb blanch wood blanchwood
luke2007,luke2007,luke2007,"luke,2007",ekul,,luke2007 ekul luke 2007
microheady,"micro,heady",microheady,,ydaehorcim,,microheady ydaehorcim heady micro
Spherous,"us,sp,hero",spherous,,suorehps,,us  hero spherous suorehps sp
the-horrorist,"the,horror,ist","the,horrorist",,tsirorroh-eht,,the  horror tsirorroh-eht ist horrorist
Moez,"moe,z",moez,,zeom,,zeom moe z moez
derpdarp,"rp,pda,der",derpdarp,,pradpred,,pradpred der rp pda derpdarp
col333,col333,col333,"col,333",loc,,col333 333 loc col
theONLYsebo,"the,sebo,only",theonlysebo,,obesylnoeht,,the  sebo theonlysebo only obesylnoeht
lathermiah,"lather,miah",lathermiah,,haimrehtal,,haimrehtal lather lathermiah miah
j2k,j2k,j2k,,k2j,"jz,jzk,k",k2j jzk k jz j2k
rschl02,rschl02,rschl02,"02,schl,r",lhcsr,,lhcsr rschl02 schl 02 r
rulertbca,"ruler,tbc,a",rulertbca,,acbtrelur,,rulertbca ruler tbc acbtrelur a
OdinMW,"odin,mw",odinmw,,wmnido,,wmnido odin mw odinmw
Quad-inFiniTy,"quad,infinity","quad,infinity",,ytinifni-dauq,,ytinifni-dauq quad infinity
flagrl,"flag,rl",flagrl,,lrgalf,,lrgalf flagrl flag rl
joeyrules666,joeyrules666,joeyrules666,"rules,666,joey",seluryeoj,,joeyrules666 seluryeoj 666 joey rules
rumburak,"rum,burak",rumburak,,karubmur,,rumburak rum karubmur burak
leeleemct,"leelee,mct",leeleemct,,tcmeeleel,,tcmeeleel leelee mct leeleemct
elys,"lys,e",elys,,syle,,lys elys syle e
wendell125,"125,wendell",wendell125,"125,wendell",llednew,,wendell wendell125 125 llednew
tomber,tomber,tomber,,rebmot,,rebmot tomber
codiatic,"codi,atic",codiatic,,citaidoc,,citaidoc codi codiatic atic
log_out,logout,"out,log",,tuo_gol,,log logout out tuo_gol
Gigabowser,"bowser,giga",gigabowser,,reswobagig,,gigabowser giga reswobagig bowser
taliatob,"tob,talia",taliatob,,botailat,,botailat tob taliatob talia
virvus46,virvus46,virvus46,"vi,rvus,46",suvriv,,vi 46 virvus46 rvus suvriv
bambamm89,bambamm89,bambamm89,"89,bamba,mm",mmabmab,,mmabmab bambamm89 mm 89 bamba
Sven17,sven17,sven17,"sven,17",nevs,,sven 17 nevs sven17
JimmyUK,"jimmy,uk",jimmyuk,,kuymmij,,jimmyuk kuymmij jimmy uk
PeepQ,"q,peep",peepq,,qpeep,,q qpeep peepq peep
blice,"lice,b",blice,,ecilb,,blice lice ecilb b
orwell84,"84,orwell",orwell84,"84,orwell",llewro,,llewro orwell orwell84 84
grapejelly,"jelly,grape",grapejelly,,yllejeparg,,jelly grape grapejelly yllejeparg
bware1986,bware1986,bware1986,"1986,bw,are",erawb,,1986 bware1986 erawb are bw
theguy_62,"the,guy62","62,theguy","the,62,guy",_yugeht,,the  62 guy _yugeht guy62 theguy
pryse,pryse,pryse,,esyrp,,esyrp pryse
MrAim,"mr,aim",mraim,,miarm,,mraim miarm mr aim
apples,apples,apples,,selppa,,apples  selppa
thesims,"the,sims",thesims,,smiseht,,the  smiseht thesims sims
starchar28,"ar28,starch",starchar28,"star,char,28",rahcrats,,starchar28 ar28 rahcrats starch 28 star char
Henry25,"25,henry",henry25,"25,henry",yrneh,,yrneh henry 25 henry25
varns2012,varns2012,varns2012,"var,2012,ns",snrav,,snrav ns 2012 var varns2012
IceMetalPunk,"metal,punk,ice",icemetalpunk,,knuplatemeci,,metal punk ice icemetalpunk knuplatemeci
iVioIRIRiiS,"riri,is,i,vio",ivioiririis,,siiririoivi,,i vio siiririoivi riri ivioiririis is
LoudAssNinja,"ass,ninja,loud",loudassninja,,ajninssaduol,,ajninssaduol ass ninja loud loudassninja
-S-,s,",s",,-s-,,s -s-
mAg1c_HaNd5,mag1chand5,"mag1c,hand5","mag1ch,and,5",dnah_c1gam,"magic,magtc_hands,hands,maglc_hands,magic_hands,tc,mag,lc",magic magtc_hands hands mag1chand5 and 5 maglc_hands mag1c mag1ch magic_hands dnah_c1gam tc mag lc hand5
Sophia35,"35,sophia",sophia35,"35,sophia",aihpos,,35  sophia aihpos sophia35
muzeek,"ek,muze",muzeek,,keezum,,keezum muze muzeek ek
Anoresto,"to,an,ores",anoresto,,otserona,,to an ores anoresto otserona
savagelove777,"love,savage,777",savagelove777,"love,savage,777",evolegavas,,savage evolegavas 777 love savagelove777
computer-nerd,"nerd,computer","nerd,computer",,dren-retupmoc,,nerd dren-retupmoc computer
telaryus,"tel,us,ary",telaryus,,suyralet,,us  telaryus ary suyralet tel
HackerName,"name,hacker",hackername,,emanrekcah,,hacker emanrekcah name hackername
jgreen45,jgreen45,jgreen45,"45,green,j",neergj,,45 neergj green jgreen45 j
shaqywacky,"wacky,shaq,y",shaqywacky,,ykcawyqahs,,wacky  ykcawyqahs y shaqywacky shaq
jokerswild2324,jokerswild2324,jokerswild2324,"jokers,wild,2324",dliwsrekoj,,2324 jokers jokerswild2324 wild dliwsrekoj
codz30,codz30,codz30,"cod,30,z",zdoc,,cod zdoc codz30 30 z
mastiguy,"guy,masti",mastiguy,,yugitsam,,mastiguy masti guy yugitsam
thenightmare,"the,nightmare",thenightmare,,eramthgineht,,the  thenightmare nightmare eramthgineht
sourceless,"less,source",sourceless,,sselecruos,,source sselecruos less sourceless
usrmd,"md,usr",usrmd,,dmrsu,,dmrsu md usrmd usr
viprix,"vi,prix",viprix,,xirpiv,,prix vi xirpiv viprix
italyjg21,"jg21,italy",italyjg21,"21,jg,italy",gjylati,,21 jg21 italyjg21 italy gjylati jg
zaccdd13,zaccdd13,zaccdd13,"cdd,zac,13",ddccaz,,zaccdd13  zac 13 cdd ddccaz
shend,"she,nd",shend,,dnehs,,she nd shend dnehs
Valenteri,"enter,val,i",valenteri,,iretnelav,,enter i valenteri val iretnelav
tw1st,tw1st,tw1st,,ts1wt,"twt,twl,twist,st,twlst,twtst",twt twl twist tw1st st twlst ts1wt twtst
gamerfreak1727,"game,rfreak1727",gamerfreak1727,"freak,1727,gamer",kaerfremag,,game rfreak1727 gamer  freak 1727 gamerfreak1727 kaerfremag
LiquidLemon,"lemon,liquid",liquidlemon,,nomeldiuqil,,liquid liquidlemon lemon nomeldiuqil
whatabrother,"brother,a,what",whatabrother,,rehtorbatahw,,brother whatabrother a rehtorbatahw what
jcole50,jcole50,jcole50,"50,jcole",elocj,,50 jcole jcole50 elocj
XertroV,"rov,xert",xertrov,,vortrex,,rov vortrex xert xertrov
Andomis,"omis,and",andomis,,simodna,,andomis and simodna omis
muller2008,"2008,muller",muller2008,"2008,muller",rellum,,2008 muller2008 rellum muller
focker42,focker42,focker42,"focker,42",rekcof,,focker42 focker rekcof 42
Hackr6,hackr6,hackr6,"hack,6,r",rkcah,,rkcah  6 hack hackr6 r
BoJaN111,bojan111,bojan111,"bojan,111",najob,,bojan 111 bojan111 najob
Aryan_illusion,"aryan,illusion","aryan,illusion",,noisulli_nayra,,aryan  noisulli_nayra illusion
F6Tech,f6tech,f6tech,,hcet6f,,f6tech  hcet6f
PhatalOne,"alone,phat",phatalone,,enolatahp,,alone enolatahp phatalone phat
blueforce,"blue,force",blueforce,,ecrofeulb,,blueforce ecrofeulb blue force
neo1983,neo1983,neo1983,"neo,1983",oen,,1983 oen neo1983 neo
moxsentre,"re,mox,sent",moxsentre,,ertnesxom,,sent ertnesxom moxsentre mox re
MrPianoMan94,mrpianoman94,mrpianoman94,"piano,94,mr,man",namonaiprm,,man 94 piano mrpianoman94 namonaiprm mr
64-bit,64bit,"bit,64","bit,64",tib-,,tib- 64 64bit bit
Denisr,"denis,r",denisr,,rsined,,rsined denis denisr r
deztroyr1,deztroyr1,deztroyr1,"dez,troy,1,r",ryortzed,"rt,deztroyri,dez,deztroyrl,troy,deztroyrt,rl,ri",rt ryortzed deztroyri 1 dez deztroyrl troy deztroyrt ri rl deztroyr1 r
ckFoxTrot,"foxtrot,ck",ckfoxtrot,,tortxofkc,,ckfoxtrot foxtrot ck tortxofkc
BigMike86,bigmike86,bigmike86,"big,86,mike",ekimgib,,mike bigmike86 big ekimgib 86
sahiljassal,"al,jass,sahil",sahiljassal,,lassajlihas,,sahiljassal lassajlihas jass sahil al
Lj123123123,lj123123123,lj123123123,"lj,123123123",jl,,lj123123123 lj jl 123123123
lexus727,lexus727,lexus727,"lexus,727",suxel,,727 lexus suxel lexus727
11YearOldHacker,"old,11,hacker,year",11yearoldhacker,"old,11,hacker,year",rekcahdloraey,,11yearoldhacker hacker year old 11 rekcahdloraey
Microelite7711,"elite,micro,7711",microelite7711,"elite,micro,7711",etileorcim,,elite microelite7711 7711 micro etileorcim
laklaklak,lak,laklaklak,,kalkalkal,,lak laklaklak kalkalkal
dukeofdoom,"of,duke,doom",dukeofdoom,,moodfoekud,,dukeofdoom duke of doom moodfoekud
hu2k1,hu2k1,hu2k1,"hu2k,1",k2uh,"i,hu,kt,huzki,z,huzkl,kl,zk,huzkt",i hu kt huzki 1 k2uh z hu2k1 huzkl hu2k kl zk huzkt
N0MAD96,n0mad96,n0mad96,"n0mad,96",dam0n,nomad,n0mad96 n0mad dam0n nomad 96
wazzzupp,"wa,upp,zzz",wazzzupp,,ppuzzzaw,,wa upp ppuzzzaw wazzzupp zzz
TWilli1777,twilli1777,twilli1777,"i,twill,1777",illiwt,,twill i illiwt 1777 twilli1777
guru8038,guru8038,guru8038,"guru,8038",urug,,guru 8038 guru8038 urug
thebroda,"the,broda",thebroda,,adorbeht,,the  thebroda broda adorbeht
danxyoo,"yoo,x,dan",danxyoo,,ooyxnad,,x yoo dan ooyxnad danxyoo
Resistor,resistor,resistor,,rotsiser,,rotsiser resistor
dogman701933,dogman701933,dogman701933,"dogman,701933",namgod,,namgod  dogman701933 dogman 701933
Mrcrash,"crash,mr",mrcrash,,hsarcrm,,crash mrcrash hsarcrm mr
Mettra,"met,tra",mettra,,arttem,,mettra  arttem met tra
PureNRG,"nrg,pure",purenrg,,grnerup,,nrg purenrg pure grnerup
ruiner0,ruiner0,ruiner0,"ruiner,0",reniur,"ruiner,o,ruinero",ruiner0 ruiner 0 ruinero reniur o
Antidote_Trixter,"trixter,antidote","trixter,antidote",,retxirt_etoditna,,trixter antidote retxirt_etoditna
duesexmachinaaa,"machina,due,sex,aa",duesexmachinaaa,,aaanihcamxeseud,,machina due sex aaanihcamxeseud duesexmachinaaa aa
clownraven,"clown,raven",clownraven,,nevarnwolc,,clown nevarnwolc raven clownraven
Sauberbmw,"sauber,bmw",sauberbmw,,wmbrebuas,,sauberbmw wmbrebuas sauber bmw
dave_154,dave154,"dave,154","dave,154",_evad,,dave _evad 154 dave154
beast9,"9,beast",beast9,"beast,9",tsaeb,,beast9 9 beast tsaeb
VFIX,"fix,v",vfix,,xifv,,vfix xifv fix v
azusa,azusa,azusa,,asuza,,asuza azusa
t8r4e,t8r4e,t8r4e,,e4r8t,"t8rre,t8rae",t8rre t8r4e t8rae e4r8t
jowil93,jowil93,jowil93,"93,jo,wil",liwoj,,wil jowil93 jo 93 liwoj
TheRenegade,"the,renegade",therenegade,,edagenereht,,the  renegade therenegade edagenereht
LuxA0rta,luxa0rta,luxa0rta,,atr0axul,"luxaorta,aorta,lux",atr0axul luxaorta luxa0rta aorta lux
nazgjunk,"g,junk,naz",nazgjunk,,knujgzan,,g nazgjunk naz knujgzan junk
zling,"ling,z",zling,,gnilz,,z gnilz ling zling
Roebuc,"roe,buc",roebuc,,cubeor,,roe  buc roebuc cubeor
CharonXul,"xul,charon",charonxul,,luxnorahc,,charon luxnorahc charonxul xul
crg8,crg8,crg8,"8,crg",grc,,8 crg grc crg8
sync350,sync350,sync350,"350,sync",cnys,,sync cnys sync350 350
dahbossontop,"boss,on,top,dah",dahbossontop,,potnossobhad,,potnossobhad dahbossontop on boss top dah
Kasterborus,"kaster,borus",kasterborus,,surobretsak,,borus kaster surobretsak kasterborus
Excl,excl,excl,,lcxe,,excl lcxe
monkey22,"22,monkey",monkey22,"22,monkey",yeknom,,22 yeknom monkey22 monkey
bigshow233,bigshow233,bigshow233,"show,big,233",wohsgib,,bigshow233 wohsgib show big 233
unground,"un,ground",unground,,dnuorgnu,,dnuorgnu ground unground un
liddlejosh08,liddlejosh08,liddlejosh08,"liddle,josh,08",hsojelddil,,liddlejosh08 liddle hsojelddil josh 08
ushigley,"us,higley",ushigley,,yelgihsu,,us  higley ushigley yelgihsu
rsox709,rsox709,rsox709,"sox,709,r",xosr,,rsox709 709 sox xosr r
mS78-Aq81,ms78aq81,"ms78,aq81","81,ms78aq",qa-87sm,,ms78  aq81 qa-87sm 81 ms78aq81 ms78aq
Ringofchaos,"of,ring,chaos",ringofchaos,,soahcfognir,,ring  soahcfognir of chaos ringofchaos
_avalon_,avalon,",avalon",,_nolava_,,_nolava_ avalon
SkaterKid,"kid,skater",skaterkid,,dikretaks,,skaterkid dikretaks kid skater
Richiiee,"ii,rich,ee",richiiee,,eeiihcir,,ii richiiee rich eeiihcir ee
Shadow Rader,"rader,shadow","rader,shadow",,redar wodahs,,rader shadow redar wodahs
MRFREE,"free,mr",mrfree,,eerfrm,,free eerfrm mrfree mr
Nativejim,"jim,native",nativejim,,mijevitan,,native mijevitan jim nativejim
grickson,"g,rickson",grickson,,noskcirg,,g noskcirg rickson grickson
sas01,sas01,sas01,"sas,01",sas,,sas01 sas 01
dkdreadrose,"rose,dk,dread",dkdreadrose,,esordaerdkd,,dkdreadrose dk dread rose esordaerdkd
zadesa,"adesa,z",zadesa,,asedaz,,adesa asedaz z zadesa
Khr0noz,khr0noz,khr0noz,,zon0rhk,"oz,khr,khronoz,on",zon0rhk khr0noz oz khr on khronoz
G3n3s1s_11,g3n3s1s11,"11,g3n3s1s","11,g3n3s1s",_s1s3n3g,"ssts,genesis,gsnssis_,genesis_,genes,s,genests_,genesls_,gsnssls_,gs,gsn,nss,ssl,gsnssts_,is,ts,ls",genes 11 genesls_ gs gsn nss is ts gsnssis_ s ssl ssts genesis genesis_ g3n3s1s ls g3n3s1s11 genests_ _s1s3n3g gsnssls_ gsnssts_
3n1gm4,3n1gm4,3n1gm4,"n1gm,4,3",mg1n,"enigmr,enlgmr,sni,snl,snigmr,gma,enigma,en,sntgma,entgmr,mr,lg,snlgmr,enlgma,enl,snigma,snt,snlgma,entgma,enig,gmr,sntgmr,ent",4 enigmr enlgmr sni snl mg1n snigmr gma 3n1gm4 enigma en sntgma entgmr 3 mr lg snlgmr enlgma enl n1gm snt snlgma entgma enig gmr ent sntgmr snigma
bluerust,"blue,rust",bluerust,,tsureulb,,bluerust  tsureulb blue rust
gyger2249,gyger2249,gyger2249,"2249,ger,gy",regyg,,gy regyg gyger2249 2249 ger
Tenth_Prime,"prime,tenth","prime,tenth",,emirp_htnet,,emirp_htnet prime tenth
opticalzoom74,"zoom,optical,74",opticalzoom74,"zoom,optical,74",moozlacitpo,,opticalzoom74 moozlacitpo 74 zoom optical
immatt19,immatt19,immatt19,"19,matt,im",ttammi,,immatt19 ttammi im 19 matt
BeaverDono,"do,no,beaver",beaverdono,,onodrevaeb,,no do beaver beaverdono onodrevaeb
buckboii,"buck,boi,i",buckboii,,iiobkcub,,buck boi i iiobkcub buckboii
spirals,spirals,spirals,,slarips,,slarips spirals
Trashy Rambo,"rambo,trashy","rambo,trashy",,obmar yhsart,,obmar yhsart trashy rambo
saint jimmy39,"39,saint,jimmy","saint,jimmy39","39,saint,jimmy",ymmij tnias,,39  ymmij tnias saint jimmy jimmy39
TheRealm,"the,realm",therealm,,mlaereht,,the  mlaereht realm therealm
dartemis,"artemis,d",dartemis,,simetrad,,dartemis simetrad d artemis
Devious Dave,"dave,devious","dave,devious",,evad suoived,,dave  evad suoived devious
TheBook,"the,book",thebook,,koobeht,,the  thebook koobeht book
HAXMAX,"hax,max",haxmax,,xamxah,,hax max haxmax xamxah
unkown_man,"unkown,man","unkown,man",,nam_nwoknu,,unkown man nam_nwoknu
Ject,ject,ject,,tcej,,tcej ject
lqcorsa,"lq,corsa",lqcorsa,,asrocql,,corsa lqcorsa lq asrocql
sanzo07,sanzo07,sanzo07,"07,sanzo",oznas,,sanzo07 07 sanzo oznas
x4d61726b,x4d61726b,x4d61726b,,b62716d4x,"xrd6l7z6b,xad6t7z6b,xrd6t7z6b,xad6l7z6b,xrd6i7z6b,xad6i7z6b",xrd6l7z6b xad6t7z6b xrd6t7z6b xad6i7z6b xad6l7z6b x4d61726b xrd6i7z6b b62716d4x
clown raven1,clownraven1,"raven1,clown","clown,raven,1",nevar nwolc,"clown ravenl,i,t,clown raveni,clown,l,raven,clown ravent",clownraven1 raven1 clown ravenl i nevar nwolc t 1 clown raveni clown l raven clown ravent
ilanman123,ilanman123,ilanman123,"lanman,i,123",namnali,,i 123 lanman namnali ilanman123
vladtepes2304,vladtepes2304,vladtepes2304,"vlad,tepes,2304",sepetdalv,,sepetdalv vladtepes2304 tepes vlad 2304
